;Quote;Krant;Periode
1;lk had een heel uitzonderlijke leraar die me alles leerde wat er toen te leren was over computers en die niet militair dacht;Algemeen dagblad ;1960-1969
2;Vergunningen zijn moeilijk te krijgen, en ik kan nu wel bekennen, dat ik wel eens in overtreding ben geweest;Algemeen dagblad ;1960-1969
3;Als zoon van een industrieel heb ik altijd gehaakt naar een combinatie van industrie en wetenschap. Ik wilde graag met mensen werken en graag mensen enthousiast maken. Bovendien, toen het aanbod van I.B.M. kwam, zei ik ja alleen al omdat neen zo definitief was en ik van ja altijd nog terug kon komen. I.B.M. heeft me naar Amerika laten komen en daar ben ik tien dagen lang door de molen gehaald. Het ene gesprek na het andere. De moeilijkheid was, dat lk geen ervaring op het gebied van organisatie had. Maar daar zijn ze uiteindelijk overheen gestapt.;Algemeen dagblad ;1960-1969
4;Van het werken met mensen kun je nachten wakker liggen, van dat met computers niet;Algemeen dagblad ;1960-1969
5;Ik haat het woord brein voor computer;Algemeen dagblad ;1960-1969
6;Al was het alleen al omdat in een menselijk brein honderdduizend maal zoveel elementen voorkomen als in de grootste rekenmachine. Een computer vergelijken met hersens is hetzelfde als het leven van tien mensen met een miljoen. Het is waanzin om uit het leven van deze tien de houding en karakter van een miljoen af te lezen.;Algemeen dagblad ;1960-1969
7;Een computer is een stuk gereedschap. Niet meer. En als u bang bent, dat we bepaald werk alleen met computers zullen kunnen doen en er dus afhankelijk van worden — zoals ruimtevaart, kunstmanen — dan heb ik maar één antwoord: dat is zo. ONDEGRIJPEL1JK Maar is het zo erg om afhankelijk te zijn. Moet u eens zien hoe afhankelijk wij van auto’s zijn en van schepen en van elektriciteit. Moet u zich eens voorstellen als alle auto’s plotseling waren uitgeschakeld. Een ramp. Of alle elektriciteit. Er zouden onmiddellijk mensen sterven.;Algemeen dagblad ;1960-1969
8;Computers zijn ook niet de duurste stukken gereedschap die de moderne tijd kent. Kernreactoren zijn oneindig veel duurder.;Algemeen dagblad ;1960-1969
9;Mijn eigen grootmoeder was echt niet dom, maar zij heeft haar angst voor de telefoon nooit helemaal overwonnen. De angst voor de indringer en voor de techniek.;Algemeen dagblad ;1960-1969
10;Ik ga zelfs zo ver, dat ik wil volhouden, dat werk dat door computers gedaan kan worden niet waard is om door mensen te worden gedaan. De angst voor de computer zal belangrijk verminderen als we er in slagen zulke goedkope apparaten te maken. dat ze binnen het bereik van de kleine zelfstandige komen, net als de telefoon.;Algemeen dagblad ;1960-1969
